"iter","objective","rel_objective_change","step_frob","rel_step_frob","truth_frob","rel_truth_frob","truth_matrix_mse","eta_step","backtrack_count","backtrack_total","accepted_no_move","stop_condition","stop_streak","window_rel_objective","window_rel_frob","rank_1e8","rank_1e4","converged"
0,0.798843721496898,NA,NA,NA,20.7633098625192,2.79060613393925,0.574820048595981,NA,NA,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
1,0.791446303021297,0.00411231858954669,0.0642836382276252,0.00293970298534105,20.7376540646445,2.78715797334279,0.57340039480649,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
2,0.784562807667694,0.00384242348877211,0.0620783785690164,0.00284228891369716,20.7123405748711,2.78375581924015,0.572001402785935,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
3,0.778121275818282,0.00360958539634147,0.0601166381914985,0.00275574723357751,20.6873325667386,2.7803947221244,0.570620971635789,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
4,0.772062195298403,0.00340757438892437,0.0583656850275387,0.0026786251578861,20.662597464794,2.77707030382756,0.569257245322817,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
5,0.766336251104675,0.00323123206900966,0.0567968159082992,0.00260964589841612,20.638106270935,2.7737786669805,0.567908573933878,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
6,0.760902511346577,0.00307627709882473,0.055384881715029,0.00254768840373484,20.6138330160532,2.77051632131343,0.566573482151633,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
7,0.755726954993449,0.0029391498505903,0.0541078870709426,0.00249177025583906,20.5897543124738,2.7672801235034,0.565250643530711,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
8,0.750781269840588,0.00281688740882813,0.0529466442601432,0.00244103284580999,20.5658489879804,2.7640672279869,0.563938859461887,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
9,0.746041865818345,0.00270702234704302,0.0518844682242352,0.00239472826357942,20.5420977862067,2.76087504669226,0.562637041944106,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
10,0.741489061168755,0.0026075002774671,0.050906904246223,0.00235220754604415,20.5184831212271,2.75770121605642,0.561344199461443,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
11,0.737106408332639,0.00251661232553178,0.0500014829593619,0.00231291006043478,20.4949888765322,2.75454357000712,0.560059425398906,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
12,0.732880133472845,0.00243293953641576,0.0491574991464904,0.00227635387931888,20.4716002404127,2.75140011783827,0.558781888537686,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
13,0.72879866899758,0.00235530686538926,0.0483658118304289,0.00224212704788923,20.44830357122,2.74826902610098,0.557510825254357,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
14,0.72485226265999,0.00228274489584021,0.0476186636989716,0.00220987966661519,20.4250862871231,2.74514860378666,0.556245533115234,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
15,0.721032650095974,0.00221445780992627,0.0469095181703039,0.00217931672236224,20.401936775899,2.74203729020287,0.554985365610373,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
16,0.717332780239543,0.00214979643542763,0.0462329125267394,0.00215019160500563,20.3788443210377,2.73893364504174,0.553729727814786,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
17,0.713746585084452,0.00208823542900647,0.0455843256130924,0.0021223002482707,20.3557990410496,2.73583634022286,0.552478072799462,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
18,0.710268786862454,0.00202935384511789,0.0449600586591378,0.00209547583520054,20.3327918393575,2.73274415315867,0.551229898643526,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
19,0.70689473697375,0.0019728184918191,0.044357127866012,0.00206958401129206,20.3098143625701,2.72965596114641,0.549984745922743,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
20,0.703620282004568,0.00191836959728832,0.0437731675007544,0.00204451855224415,20.2868589652788,2.72657073663682,0.548742195569483,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
21,0.700441652955479,0.001865808409694,0.0432063423687194,0.00202019743828696,20.263918679815,2.72348754316943,0.547501867016207,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
22,0.697355374426166,0.00181498643246525,0.0426552686733556,0.00199655929287631,20.2409871896532,2.72040553179794,0.546263416548937,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
23,0.69435819099303,0.00176579606032668,0.0421189424181494,0.00197356014972825,20.2180588053668,2.7173239378587,0.545026535809694,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
24,0.691447008403957,0.00171816243138478,0.041596674648153,0.00195117051834261,20.195128442234,2.71424207796086,0.54379095039777,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
25,0.688618847523046,0.00167203634926698,0.0410880329611408,0.00192937272396782,20.1721915987573,2.7111593470994,0.5425564185293,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
26,0.685870809205973,0.0016273881587334,0.0405927888356779,0.00190815850312917,20.1492443355148,2.70807521581273,0.541322729723032,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
27,0.683200048489205,0.00158420247991995,0.0401108704213434,0.00188752684018213,20.12628325389,2.70498922732399,0.540089703487753,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
28,0.680603756645718,0.00154247372189466,0.0396423205128507,0.0018674820337467,20.1033054743504,2.70190099462158,0.538857187993394,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
29,0.678079149805602,0.00150220230683958,0.0391872594843659,0.00184803198429086,20.0803086140454,2.69881019744843,0.537625058713741,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
30,0.675623462969243,0.00146339154302891,0.0387458529934855,0.00182918669557351,20.0572907635928,2.69571657918196,0.536393217033743,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
31,0.673233948358993,0.00142604508892237,0.038318284278073,0.00181095698321014,20.034250462997,2.69261994359755,0.535161588818796,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
32,0.670907877165798,0.00139016495300971,0.0379047308660973,0.00179335338340002,20.0111866767152,2.68952015151738,0.533930122947127,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
33,0.668642543852714,0.0013557499752331,0.0375053455021959,0.00177638525400417,19.9880987679436,2.6864171173545,0.532698789809425,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
34,0.666435272278513,0.00132279473655538,0.0371202410686544,0.00176006005885772,19.9649864722405,2.68331080556772,0.531467579782328,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
35,0.664283423002301,0.00129128884392227,0.0367494792467467,0.00174438282461642,19.9418498706404,2.68020122704814,0.530236501684212,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
36,0.662184401223866,0.00126121653885638,0.0363930626308751,0.00172935575775821,19.9186893624377,2.67708843546127,0.52900558122305,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
37,0.6601356649039,0.00123255657943728,0.0360509299760665,0.00171497800774576,19.8955056378354,2.67397252357098,0.527774859446856,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
38,0.658134732692481,0.00120528234753319,0.0357229542323364,0.00170124556095586,19.8722996506625,2.67085361957264,0.526544391207627,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
39,0.656179191372482,0.00117936213592414,0.0354089429994599,0.00168815124890561,19.8490725913629,2.66773188346294,0.525314243649593,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
40,0.654266702596175,0.00115475957328171,0.0351086410245571,0.00167568485363962,19.8258258604565,2.6646075034729,0.524084494732197,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
41,0.652395008757593,0.0011314341488256,0.034821734363413,0.00166383329292948,19.8025610426571,2.66148069258937,0.522855231797545,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
42,0.650561937899909,0.00110934180263676,0.0345478558347187,0.00165258086818648,19.7792798818203,2.65835168518803,0.521626550191176,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
43,0.648765407605875,0.00108843555202806,0.0342865914139136,0.00164190955868031,19.7559842568755,2.65522073379852,0.520398551943886,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
44,0.647003427860408,0.00106866612881282,0.0340374872388216,0.00163179934673794,19.7326761588722,2.65208810601955,0.519171344521229,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
45,0.645274102907957,0.00104998260671356,0.033800056931371,0.00162222856000267,19.7093576692521,2.64895408159864,0.517945039646009,0.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
